client,vendor_id,vendor_name,tag_id,tag_name,expires_at,sync_date
QTS Data Centers,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",69f0f3c3beb6279e947be0c0,Adolfson & Peterson,,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0df,Evans General Contractors LLC,69f0f3c3beb6279e947be0c3,Evans,,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0e4,Gilbane Building Company,69f0f3c3beb6279e947be0c4,Gilbane,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f0f3c3beb6279e947be0c6,Hitt Contracting,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0f3,"Holder Construction Group, LLC",69f0f3c3beb6279e947be0c7,Holder,,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f0f3c3beb6279e947be0c5,Gray Construction,,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0d5,Brasfield & Gorrie L.L.C.,69f0f3c3beb6279e947be0c1,Brasfield & Gorie,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f0f3c3beb6279e947be0c8,Layton,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0fd,M. A. Mortenson Company,69f0f3c3beb6279e947be0c9,Mortenson,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f0f3c3beb6279e947be0ca,Rogers O'Brien,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",69f0f3c3beb6279e947be0cc,Suffolk,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f0f3c3beb6279e947be0cb,Structure Tones,,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f0f3c3beb6279e947be0cd,White - Turner,,2026-05-15
